"key","value","date"
"Harry","0","0"
"Harry","61","1"
"Harry","71","2"
"Harry","70","3"
"Harry","79","4"
"Harry","76","5"
"Harry","64","6"
"Harry","86","7"
"Harry","71","8"
"Harry","59","9"
"Harry","105","10"
"Harry","108","11"
"Harry","95","12"
"Harry","94","13"
"Harry","49","14"
"Harry","91","15"
"Harry","89","16"
"Harry","118","17"
"Harry","68","18"
"Hermione","0","0"
"Hermione","4","1"
"Hermione","2","2"
"Hermione","0","3"
"Hermione","13","4"
"Hermione","6","5"
"Hermione","25","6"
"Hermione","20","7"
"Hermione","21","8"
"Hermione","44","9"
"Hermione","28","10"
"Hermione","35","11"
"Hermione","26","12"
"Hermione","18","13"
"Hermione","19","14"
"Hermione","4","15"
"Hermione","6","16"
"Hermione","0","17"
"Hermione","8","18"
"Ron","0","0"
"Ron","5","1"
"Ron","3","2"
"Ron","44","3"
"Ron","28","4"
"Ron","75","5"
"Ron","34","6"
"Ron","44","7"
"Ron","21","8"
"Ron","60","9"
"Ron","17","10"
"Ron","30","11"
"Ron","59","12"
"Ron","41","13"
"Ron","34","14"
"Ron","59","15"
"Ron","60","16"
"Ron","14","17"
"Ron","18","18"
"Ginny","0","0"
"Ginny","0","1"
"Ginny","0","2"
"Ginny","0","3"
"Ginny","13","4"
"Ginny","4","5"
"Ginny","1","6"
"Ginny","0","7"
"Ginny","1","8"
"Ginny","4","9"
"Ginny","0","10"
"Ginny","2","11"
"Ginny","2","12"
"Ginny","4","13"
"Ginny","0","14"
"Ginny","2","15"
"Ginny","15","16"
"Ginny","25","17"
"Ginny","17","18"
"Dobby","0","0"
"Dobby","0","1"
"Dobby","56","2"
"Dobby","3","3"
"Dobby","1","4"
"Dobby","0","5"
"Dobby","0","6"
"Dobby","0","7"
"Dobby","0","8"
"Dobby","0","9"
"Dobby","31","10"
"Dobby","3","11"
"Dobby","0","12"
"Dobby","0","13"
"Dobby","0","14"
"Dobby","0","15"
"Dobby","1","16"
"Dobby","0","17"
"Dobby","25","18"
"Snape","0","0"
"Snape","1","1"
"Snape","0","2"
"Snape","0","3"
"Snape","0","4"
"Snape","19","5"
"Snape","0","6"
"Snape","2","7"
"Snape","0","8"
"Snape","12","9"
"Snape","0","10"
"Snape","32","11"
"Snape","0","12"
"Snape","6","13"
"Snape","2","14"
"Snape","5","15"
"Snape","4","16"
"Snape","0","17"
"Snape","0","18"
"Draco","0","0"
"Draco","1","1"
"Draco","0","2"
"Draco","1","3"
"Draco","12","4"
"Draco","0","5"
"Draco","1","6"
"Draco","1","7"
"Draco","1","8"
"Draco","0","9"
"Draco","0","10"
"Draco","3","11"
"Draco","3","12"
"Draco","1","13"
"Draco","0","14"
"Draco","2","15"
"Draco","1","16"
"Draco","0","17"
"Draco","1","18"
"Riddle","0","0"
"Riddle","0","1"
"Riddle","0","2"
"Riddle","0","3"
"Riddle","0","4"
"Riddle","0","5"
"Riddle","0","6"
"Riddle","0","7"
"Riddle","0","8"
"Riddle","0","9"
"Riddle","0","10"
"Riddle","0","11"
"Riddle","0","12"
"Riddle","39","13"
"Riddle","3","14"
"Riddle","1","15"
"Riddle","0","16"
"Riddle","46","17"
"Riddle","5","18"
"Eaters","0","0"
"Eaters","0","1"
"Eaters","0","2"
"Eaters","0","3"
"Eaters","0","4"
"Eaters","0","5"
"Eaters","0","6"
"Eaters","0","7"
"Eaters","0","8"
"Eaters","0","9"
"Eaters","0","10"
"Eaters","0","11"
"Eaters","0","12"
"Eaters","0","13"
"Eaters","0","14"
"Eaters","0","15"
"Eaters","0","16"
"Eaters","0","17"
"Eaters","0","18"
"Voldemort","0","0"
"Voldemort","4","1"
"Voldemort","0","2"
"Voldemort","0","3"
"Voldemort","0","4"
"Voldemort","0","5"
"Voldemort","0","6"
"Voldemort","0","7"
"Voldemort","0","8"
"Voldemort","0","9"
"Voldemort","0","10"
"Voldemort","0","11"
"Voldemort","0","12"
"Voldemort","0","13"
"Voldemort","0","14"
"Voldemort","1","15"
"Voldemort","0","16"
"Voldemort","3","17"
"Voldemort","6","18"
