"key","value","date"
"Harry","0","0"
"Harry","7","1"
"Harry","64","2"
"Harry","68","3"
"Harry","51","4"
"Harry","56","5"
"Harry","26","6"
"Harry","39","7"
"Harry","77","8"
"Harry","73","9"
"Harry","31","10"
"Harry","26","11"
"Harry","51","12"
"Harry","40","13"
"Harry","67","14"
"Harry","56","15"
"Harry","64","16"
"Harry","58","17"
"Harry","128","18"
"Harry","126","19"
"Harry","136","20"
"Harry","99","21"
"Harry","74","22"
"Harry","144","23"
"Harry","106","24"
"Harry","101","25"
"Harry","147","26"
"Harry","88","27"
"Harry","145","28"
"Harry","60","29"
"Harry","113","30"
"Harry","157","31"
"Harry","42","32"
"Harry","23","33"
"Harry","63","34"
"Harry","64","35"
"Harry","98","36"
"Harry","70","37"
"Hermione","0","0"
"Hermione","0","1"
"Hermione","3","2"
"Hermione","1","3"
"Hermione","0","4"
"Hermione","17","5"
"Hermione","7","6"
"Hermione","17","7"
"Hermione","13","8"
"Hermione","49","9"
"Hermione","13","10"
"Hermione","21","11"
"Hermione","29","12"
"Hermione","23","13"
"Hermione","31","14"
"Hermione","29","15"
"Hermione","42","16"
"Hermione","4","17"
"Hermione","30","18"
"Hermione","34","19"
"Hermione","20","20"
"Hermione","43","21"
"Hermione","24","22"
"Hermione","44","23"
"Hermione","48","24"
"Hermione","2","25"
"Hermione","41","26"
"Hermione","47","27"
"Hermione","53","28"
"Hermione","34","29"
"Hermione","0","30"
"Hermione","33","31"
"Hermione","0","32"
"Hermione","0","33"
"Hermione","0","34"
"Hermione","0","35"
"Hermione","9","36"
"Hermione","36","37"
"Ron","0","0"
"Ron","0","1"
"Ron","3","2"
"Ron","5","3"
"Ron","6","4"
"Ron","32","5"
"Ron","5","6"
"Ron","22","7"
"Ron","16","8"
"Ron","53","9"
"Ron","25","10"
"Ron","27","11"
"Ron","36","12"
"Ron","33","13"
"Ron","49","14"
"Ron","36","15"
"Ron","53","16"
"Ron","13","17"
"Ron","28","18"
"Ron","22","19"
"Ron","23","20"
"Ron","42","21"
"Ron","59","22"
"Ron","86","23"
"Ron","40","24"
"Ron","4","25"
"Ron","46","26"
"Ron","49","27"
"Ron","38","28"
"Ron","41","29"
"Ron","0","30"
"Ron","32","31"
"Ron","0","32"
"Ron","0","33"
"Ron","0","34"
"Ron","0","35"
"Ron","10","36"
"Ron","35","37"
"Dumbledore","0","0"
"Dumbledore","0","1"
"Dumbledore","6","2"
"Dumbledore","0","3"
"Dumbledore","0","4"
"Dumbledore","1","5"
"Dumbledore","0","6"
"Dumbledore","0","7"
"Dumbledore","0","8"
"Dumbledore","0","9"
"Dumbledore","1","10"
"Dumbledore","2","11"
"Dumbledore","23","12"
"Dumbledore","2","13"
"Dumbledore","3","14"
"Dumbledore","13","15"
"Dumbledore","34","16"
"Dumbledore","24","17"
"Dumbledore","12","18"
"Dumbledore","1","19"
"Dumbledore","4","20"
"Dumbledore","11","21"
"Dumbledore","1","22"
"Dumbledore","10","23"
"Dumbledore","21","24"
"Dumbledore","3","25"
"Dumbledore","8","26"
"Dumbledore","8","27"
"Dumbledore","51","28"
"Dumbledore","10","29"
"Dumbledore","75","30"
"Dumbledore","6","31"
"Dumbledore","0","32"
"Dumbledore","6","33"
"Dumbledore","2","34"
"Dumbledore","49","35"
"Dumbledore","96","36"
"Dumbledore","28","37"
"Sirius","0","0"
"Sirius","0","1"
"Sirius","18","2"
"Sirius","6","3"
"Sirius","1","4"
"Sirius","5","5"
"Sirius","0","6"
"Sirius","0","7"
"Sirius","0","8"
"Sirius","2","9"
"Sirius","3","10"
"Sirius","0","11"
"Sirius","2","12"
"Sirius","2","13"
"Sirius","2","14"
"Sirius","6","15"
"Sirius","0","16"
"Sirius","0","17"
"Sirius","5","18"
"Sirius","25","19"
"Sirius","2","20"
"Sirius","3","21"
"Sirius","0","22"
"Sirius","2","23"
"Sirius","1","24"
"Sirius","1","25"
"Sirius","4","26"
"Sirius","61","27"
"Sirius","4","28"
"Sirius","8","29"
"Sirius","0","30"
"Sirius","3","31"
"Sirius","0","32"
"Sirius","0","33"
"Sirius","0","34"
"Sirius","0","35"
"Sirius","24","36"
"Sirius","0","37"
"Snape","0","0"
"Snape","0","1"
"Snape","0","2"
"Snape","0","3"
"Snape","0","4"
"Snape","0","5"
"Snape","0","6"
"Snape","0","7"
"Snape","0","8"
"Snape","0","9"
"Snape","0","10"
"Snape","0","11"
"Snape","3","12"
"Snape","2","13"
"Snape","5","14"
"Snape","2","15"
"Snape","0","16"
"Snape","8","17"
"Snape","20","18"
"Snape","0","19"
"Snape","1","20"
"Snape","0","21"
"Snape","2","22"
"Snape","7","23"
"Snape","0","24"
"Snape","39","25"
"Snape","12","26"
"Snape","49","27"
"Snape","11","28"
"Snape","1","29"
"Snape","5","30"
"Snape","2","31"
"Snape","0","32"
"Snape","0","33"
"Snape","0","34"
"Snape","11","35"
"Snape","15","36"
"Snape","5","37"
"Moody","0","0"
"Moody","0","1"
"Moody","0","2"
"Moody","0","3"
"Moody","0","4"
"Moody","0","5"
"Moody","0","6"
"Moody","0","7"
"Moody","0","8"
"Moody","0","9"
"Moody","0","10"
"Moody","2","11"
"Moody","5","12"
"Moody","24","13"
"Moody","41","14"
"Moody","11","15"
"Moody","4","16"
